tweet_id,text,author_id
1,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-125],user_1
2,@AppleSupport Need help recovering my iCloud account credentials. [ref-854],user_2
3,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-704],user_3
4,@AppleSupport Need help recovering my iCloud account credentials. [ref-338],user_4
5,@AppleSupport Need help recovering my iCloud account credentials. [ref-833],user_5
6,@AppleSupport Need help recovering my iCloud account credentials. [ref-559],user_6
7,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-877],user_7
8,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-384],user_8
9,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-204],user_9
10,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-718],user_10
11,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-649],user_11
12,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-665],user_12
13,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-691],user_13
14,@AppleSupport Need help recovering my iCloud account credentials. [ref-891],user_14
15,@AppleSupport Need help recovering my iCloud account credentials. [ref-987],user_15
16,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-266],user_16
17,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-818],user_17
18,@AppleSupport Need help recovering my iCloud account credentials. [ref-646],user_18
19,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-376],user_19
20,@AppleSupport Need help recovering my iCloud account credentials. [ref-801],user_20
21,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-334],user_21
22,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-374],user_22
23,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-317],user_23
24,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-246],user_24
25,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-864],user_25
26,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-470],user_26
27,@AppleSupport Someone hacked my iCloud and changed the recovery email. [ref-193],user_27
28,@AppleSupport Need help recovering my iCloud account credentials. [ref-742],user_28
29,@AppleSupport Locked out of my Apple ID after suspicious login alert. [ref-494],user_29
30,@AppleSupport Two-factor verification codes not sending to my trusted number. [ref-666],user_30
31,@AppleSupport Charged twice for Apple Music subscription this month. [ref-798],user_31
